time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-1.50E-06,0,-1.50E-06,0.00400008,-8.00E-07,-0.00159992,-8.00E-07,-0.00479992,-8.00E-07,0.0128001,-8.00E-07,0.0139999,-8.00E-07,0.0319999
-1.50E-06,0.05,-1.50E-06,0.00400008,-8.00E-07,0.00320008,-8.00E-07,-0.00959992,-8.00E-07,0.0168001,-8.00E-07,0.0179999,-8.00E-07,0.0219999
-1.50E-06,-0.02,-1.50E-06,0.000800078,-7.99E-07,-0.00159992,-7.99E-07,-0.0127999,-7.99E-07,0.0144001,-7.99E-07,0.0159999,-7.99E-07,0.0279999
-1.50E-06,-0.02,-1.50E-06,0.00480008,-7.99E-07,-0.000799922,-7.99E-07,-0.00479992,-7.99E-07,0.0136001,-7.99E-07,0.0119999,-7.99E-07,0.0299999
-1.49E-06,-0.02,-1.49E-06,0.00240008,-7.98E-07,0.00880008,-7.98E-07,-0.00239992,-7.98E-07,0.0112001,-7.98E-07,0.00799986,-7.98E-07,0.0279999
-1.49E-06,0,-1.49E-06,-0.00159992,-7.98E-07,0.00160008,-7.98E-07,-0.00639992,-7.98E-07,0.0136001,-7.98E-07,0.0179999,-7.98E-07,0.0199999
-1.49E-06,0.01,-1.49E-06,-0.00239992,-7.98E-07,-0.00239992,-7.98E-07,-0.00959992,-7.98E-07,0.0160001,-7.98E-07,0.0239999,-7.98E-07,0.0239999
-1.49E-06,0.01,-1.49E-06,0.00480008,-7.97E-07,7.80E-08,-7.97E-07,-0.00559992,-7.97E-07,0.00640008,-7.97E-07,0.0139999,-7.97E-07,0.0239999
-1.49E-06,-0.01,-1.49E-06,-0.00559992,-7.97E-07,-0.00559992,-7.97E-07,-0.0183999,-7.97E-07,0.0112001,-7.97E-07,0.0179999,-7.97E-07,0.0199999
-1.48E-06,0.06,-1.48E-06,-0.00159992,-7.96E-07,-0.00239992,-7.96E-07,-0.00559992,-7.96E-07,0.0104001,-7.96E-07,0.0159999,-7.96E-07,0.0119999
-1.48E-06,-0.01,-1.48E-06,-0.000799922,-7.96E-07,7.80E-08,-7.96E-07,-0.00639992,-7.96E-07,0.00960008,-7.96E-07,0.0159999,-7.96E-07,0.0159999
