time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,,,,,,
-4.00E-06,0,-4.00E-06,-0.00399992,-8.00E-07,0.00160008,-8.00E-07,-0.00239992,-8.00E-07,0.0168001,-8.00E-07,0.0139999,-8.00E-07,0.0119999,0.008400012,,,,,
-4.00E-06,0,-4.00E-06,-0.00399992,-8.00E-07,-0.00159992,-8.00E-07,-0.00799992,-8.00E-07,0.0144001,-8.00E-07,0.00599986,-8.00E-07,0.0159999,0.005360004,,,,,
-4.00E-06,0,-4.00E-06,-0.000799922,-7.99E-07,-0.00719992,-7.99E-07,-0.00399992,-7.99E-07,0.0104001,-7.99E-07,0.00399986,-7.99E-07,0.00399986,0.001439996,,,,,
-4.00E-06,0.012,-4.00E-06,-0.00479992,-7.99E-07,0.000800078,-7.99E-07,-0.00159992,-7.99E-07,0.0152001,-7.99E-07,-1.42E-07,-7.99E-07,0.0119999,0.005280003,,,,,
-4.00E-06,-0.008,-4.00E-06,7.80E-08,-7.98E-07,-0.00159992,-7.98E-07,-0.0103999,-7.98E-07,0.0120001,-7.98E-07,-0.00200014,-7.98E-07,0.0159999,0.002800008,,,,,
-4.00E-06,0.02,-4.00E-06,-0.00559992,-7.98E-07,-0.00399992,-7.98E-07,-0.00639992,-7.98E-07,0.00960008,-7.98E-07,0.0159999,-7.98E-07,0.00399986,0.00384,,,,,
-4.00E-06,-0.004,-4.00E-06,-0.00319992,-7.98E-07,-0.000799922,-7.98E-07,7.80E-08,-7.98E-07,0.0136001,-7.98E-07,0.00399986,-7.98E-07,0.00399986,0.004159995,,,,,
-4.00E-06,0.008,-4.00E-06,0.00240008,-7.97E-07,0.000800078,-7.97E-07,-0.00559992,-7.97E-07,0.0160001,-7.97E-07,0.00199986,-7.97E-07,0.0119999,0.005040004,,,,,
-3.99E-06,-0.016,-3.99E-06,-0.00159992,-7.97E-07,-0.00639992,-7.97E-07,-0.00239992,-7.97E-07,0.0104001,-7.97E-07,0.00399986,-7.97E-07,0.00599986,0.002319996,,,,,
-3.99E-06,0.02,-3.99E-06,7.80E-08,-7.96E-07,-0.00399992,-7.96E-07,-0.00319992,-7.96E-07,0.0112001,-7.96E-07,0.0179999,-7.96E-07,0.00799986,0.006000004,,,,,
-3.99E-06,-0.008,-3.99E-06,7.80E-08,-7.96E-07,-0.00239992,-7.96E-07,-0.00319992,-7.96E-07,0.00480008,-7.96E-07,0.0119999,-7.96E-07,0.00999986,0.00424,,,,,
-3.99E-06,0,-3.99E-06,-0.000799922,-7.96E-07,-0.000799922,-7.96E-07,-0.00319992,-7.96E-07,0.0152001,-7.96E-07,0.0159999,-7.96E-07,0.0139999,0.008240012,,,,,
-3.99E-06,0.004,-3.99E-06,-0.00399992,-7.95E-07,-0.00319992,-7.95E-07,-0.00879992,-7.95E-07,0.00560008,-7.95E-07,0.0159999,-7.95E-07,0.0179999,0.005520008,,,,,
-3.99E-06,0.008,-3.99E-06,0.00160008,-7.95E-07,-0.00399992,-7.95E-07,-0.00159992,-7.95E-07,0.00400008,-7.95E-07,0.0179999,-7.95E-07,0.0179999,0.006880008,,,,,
-3.99E-06,0.004,-3.99E-06,-0.00239992,-7.94E-07,0.00160008,-7.94E-07,0.000800078,-7.94E-07,0.00640008,-7.94E-07,0.0119999,-7.94E-07,0.0159999,0.007360008,,,,,
-3.99E-06,0.004,-3.99E-06,0.00400008,-7.94E-07,-0.00799992,-7.94E-07,-0.00479992,-7.94E-07,0.00880008,-7.94E-07,0.00799986,-7.94E-07,0.0219999,0.0052,,,,,
-3.99E-06,-0.004,-3.99E-06,0.000800078,-7.94E-07,0.00240008,-7.94E-07,-0.00399992,-7.94E-07,0.0120001,-7.94E-07,0.00199986,-7.94E-07,0.0179999,0.006080004,,,,,
-3.99E-06,0.016,-3.99E-06,0.00160008,-7.93E-07,-0.00399992,-7.93E-07,0.00160008,-7.93E-07,0.00560008,-7.93E-07,0.0139999,-7.93E-07,0.0119999,0.005840008,,,,,
-3.99E-06,-0.004,-3.99E-06,-0.00239992,-7.93E-07,-0.000799922,-7.93E-07,-0.00239992,-7.93E-07,0.00720008,-7.93E-07,0.0199999,-7.93E-07,0.0199999,0.008800008,,,,,
-3.99E-06,0.012,-3.99E-06,0.00240008,-7.92E-07,0.00320008,-7.92E-07,7.80E-08,-7.92E-07,0.0128001,-7.92E-07,0.00999986,-7.92E-07,0.0179999,0.008800004,,,,,
-3.99E-06,0.004,-3.99E-06,-0.00399992,-7.92E-07,0.00560008,-7.92E-07,-0.00559992,-7.92E-07,0.0112001,-7.92E-07,0.00799986,-7.92E-07,0.0179999,0.007440004,,,,,
-3.98E-06,0.016,-3.98E-06,7.80E-08,-7.92E-07,0.00160008,-7.92E-07,-0.00719992,-7.92E-07,0.0128001,-7.92E-07,0.0179999,-7.92E-07,0.0179999,0.008640012,,,,,
-3.98E-06,0.016,-3.98E-06,-0.00559992,-7.91E-07,0.000800078,-7.91E-07,-0.0111999,-7.91E-07,0.00960008,-7.91E-07,0.0199999,-7.91E-07,0.0119999,0.006240012,,,,,
-3.98E-06,0,-3.98E-06,-0.00319992,-7.91E-07,-0.000799922,-7.91E-07,7.80E-08,-7.91E-07,0.00880008,-7.91E-07,0.0179999,-7.91E-07,0.0179999,0.008800007,,,,,
-3.98E-06,0,-3.98E-06,-0.000799922,-7.90E-07,-0.00479992,-7.90E-07,-0.0103999,-7.90E-07,0.0104001,-7.90E-07,0.0179999,-7.90E-07,0.00799986,0.004240008,,,,,
-3.98E-06,0.008,-3.98E-06,-0.00159992,-7.90E-07,-0.00719992,-7.90E-07,-0.00639992,-7.90E-07,0.00320008,-7.90E-07,0.0239999,-7.90E-07,0.0159999,0.005920008,,,,,
-3.98E-06,0,-3.98E-06,0.00240008,-7.90E-07,0.00480008,-7.90E-07,-0.00319992,-7.90E-07,0.00800008,-7.90E-07,0.0139999,-7.90E-07,0.0119999,0.007120008,,,,,
-3.98E-06,0.004,-3.98E-06,-0.00239992,-7.89E-07,-0.00719992,-7.89E-07,-0.00399992,-7.89E-07,0.0112001,-7.89E-07,0.00999986,-7.89E-07,0.0139999,0.004800004,,,,,
-3.98E-06,0,-3.98E-06,0.00640008,-7.89E-07,-0.00159992,-7.89E-07,-0.00399992,-7.89E-07,0.0120001,-7.89E-07,0.0199999,-7.89E-07,0.0159999,0.008480012,,,,,
-3.98E-06,0,-3.98E-06,0.00320008,-7.88E-07,0.00320008,-7.88E-07,0.00320008,-7.88E-07,0.00800008,-7.88E-07,0.0259999,-7.88E-07,0.0119999,0.010480008,,,,,
-3.98E-06,0.008,-3.98E-06,-0.00959992,-7.88E-07,-0.00559992,-7.88E-07,-0.00639992,-7.88E-07,0.0144001,-7.88E-07,0.0179999,-7.88E-07,0.00799986,0.005680004,,,,,
-3.98E-06,0.012,-3.98E-06,-0.00159992,-7.88E-07,-0.00319992,-7.88E-07,-0.00559992,-7.88E-07,0.0112001,-7.88E-07,0.0119999,-7.88E-07,0.0119999,0.005280012,,,,,
-3.98E-06,0.004,-3.98E-06,7.80E-08,-7.87E-07,-0.00399992,-7.87E-07,-0.00559992,-7.87E-07,0.0160001,-7.87E-07,0.00199986,-7.87E-07,0.0119999,0.004080004,,,,,
-3.97E-06,0,-3.97E-06,-0.00479992,-7.87E-07,0.00560008,-7.87E-07,0.00320008,-7.87E-07,0.0136001,-7.87E-07,0.0119999,-7.87E-07,0.00999986,0.008880004,,,,,
-3.97E-06,0.02,-3.97E-06,-0.00319992,-7.86E-07,0.000800078,-7.86E-07,-0.00879992,-7.86E-07,0.0136001,-7.86E-07,0.0159999,-7.86E-07,0.00399986,0.005120004,,,,,
-3.97E-06,-0.008,-3.97E-06,0.00240008,-7.86E-07,-0.00319992,-7.86E-07,-0.00879992,-7.86E-07,0.0104001,-7.86E-07,0.00399986,-7.86E-07,0.0239999,0.005280004,,,,,
-3.97E-06,0.008,-3.97E-06,-0.000799922,-7.86E-07,7.80E-08,-7.86E-07,-0.00159992,-7.86E-07,0.00960008,-7.86E-07,-1.42E-07,-7.86E-07,0.00399986,0.002399991,,,,,
-3.97E-06,0.008,-3.97E-06,0.00320008,-7.85E-07,-0.000799922,-7.85E-07,-0.00319992,-7.85E-07,0.0104001,-7.85E-07,0.0139999,-7.85E-07,0.0199999,0.008080012,,,,,
-3.97E-06,0.008,-3.97E-06,-0.00239992,-7.85E-07,0.00240008,-7.85E-07,-0.00159992,-7.85E-07,0.00400008,-7.85E-07,0.00399986,-7.85E-07,0.00799986,0.003359992,,,,,
-3.97E-06,-0.008,-3.97E-06,-0.00159992,-7.84E-07,-0.00719992,-7.84E-07,7.80E-08,-7.84E-07,0.0120001,-7.84E-07,-0.00400014,-7.84E-07,0.0179999,0.003760004,,,,,
-3.97E-06,-0.008,-3.97E-06,-0.00319992,-7.84E-07,-0.00479992,-7.84E-07,-0.00639992,-7.84E-07,0.0144001,-7.84E-07,-1.42E-07,-7.84E-07,0.0119999,0.003040004,,,,,
-3.97E-06,0.004,-3.97E-06,0.00560008,-7.84E-07,0.00400008,-7.84E-07,0.000800078,-7.84E-07,0.0112001,-7.84E-07,0.00599986,-7.84E-07,0.00199986,0.004799996,,,,,
-3.97E-06,0.016,-3.97E-06,-0.00159992,-7.83E-07,-0.00399992,-7.83E-07,-0.00399992,-7.83E-07,0.00960008,-7.83E-07,0.00199986,-7.83E-07,0.0119999,0.00312,,,,,
-3.97E-06,0.008,-3.97E-06,-0.00399992,-7.83E-07,-0.00719992,-7.83E-07,-0.00399992,-7.83E-07,0.0232001,-7.83E-07,0.00399986,-7.83E-07,0.0139999,0.006000004,,,,,
-3.97E-06,0.004,-3.97E-06,0.000800078,-7.82E-07,-0.00399992,-7.82E-07,-0.00639992,-7.82E-07,0.0120001,-7.82E-07,0.0199999,-7.82E-07,0.00599986,0.005520004,,,,,
-3.97E-06,0,-3.97E-06,7.80E-08,-7.82E-07,-0.00399992,-7.82E-07,-0.00239992,-7.82E-07,0.00960008,-7.82E-07,0.00999986,-7.82E-07,0.0139999,0.00544,,,,,
-3.96E-06,0.012,-3.96E-06,0.00480008,-7.82E-07,-0.00239992,-7.82E-07,-0.00399992,-7.82E-07,0.00160008,-7.82E-07,0.00199986,-7.82E-07,-0.00200014,-0.000960008,,,,,
-3.96E-06,0,-3.96E-06,-0.00479992,-7.81E-07,-0.00479992,-7.81E-07,-0.00479992,-7.81E-07,0.00640008,-7.81E-07,-0.00400014,-7.81E-07,0.0179999,0.00216,,,,,
-3.96E-06,0.012,-3.96E-06,-0.00639992,-7.81E-07,0.00240008,-7.81E-07,-0.00399992,-7.81E-07,0.00640008,-7.81E-07,0.00599986,-7.81E-07,0.0139999,0.00496,,,,,
-3.96E-06,0.012,-3.96E-06,-0.00719992,-7.80E-07,-0.00799992,-7.80E-07,0.000800078,-7.80E-07,0.0112001,-7.80E-07,0.0159999,-7.80E-07,0.00199986,0.004400004,,,,,
-3.96E-06,-0.008,-3.96E-06,-0.00159992,-7.80E-07,0.00400008,-7.80E-07,-0.00479992,-7.80E-07,0.00960008,-7.80E-07,0.00599986,-7.80E-07,0.0159999,0.00616,,,,,
-3.96E-06,0.016,-3.96E-06,0.000800078,-7.80E-07,-0.000799922,-7.80E-07,-0.00559992,-7.80E-07,0.00880008,-7.80E-07,0.0139999,-7.80E-07,0.00999986,0.00528,,,,,
-3.96E-06,0.02,-3.96E-06,0.00640008,-7.79E-07,7.80E-08,-7.79E-07,-0.00479992,-7.79E-07,0.00640008,-7.79E-07,0.00399986,-7.79E-07,0.0359999,0.00832,,,,,
-3.96E-06,0.004,-3.96E-06,-0.000799922,-7.79E-07,0.000800078,-7.79E-07,-0.00399992,-7.79E-07,0.0104001,-7.79E-07,0.0179999,-7.79E-07,0.0179999,0.008640012,,,,,
-3.96E-06,-0.012,-3.96E-06,0.000800078,-7.78E-07,0.00240008,-7.78E-07,-0.00479992,-7.78E-07,0.00560008,-7.78E-07,0.0119999,-7.78E-07,0.0179999,0.006640008,,,,,
-3.96E-06,0.004,-3.96E-06,0.00240008,-7.78E-07,-0.000799922,-7.78E-07,-0.00159992,-7.78E-07,0.0144001,-7.78E-07,0.00399986,-7.78E-07,0.0139999,0.006000004,,,,,
-3.96E-06,0.008,-3.96E-06,-0.00559992,-7.78E-07,0.00160008,-7.78E-07,-0.00479992,-7.78E-07,0.0152001,-7.78E-07,0.00799986,-7.78E-07,0.0119999,0.006400004,,,,,
-3.96E-06,0,-3.96E-06,-0.00399992,-7.77E-07,0.00160008,-7.77E-07,-0.00799992,-7.77E-07,0.00640008,-7.77E-07,0.0199999,-7.77E-07,0.00399986,0.0048,,,,,
-3.95E-06,0.008,-3.95E-06,0.00320008,-7.77E-07,-0.00239992,-7.77E-07,-0.00559992,-7.77E-07,0.0120001,-7.77E-07,0.00399986,-7.77E-07,0.0119999,0.004000004,,,,,
-3.95E-06,0.008,-3.95E-06,0.00160008,-7.76E-07,-0.00319992,-7.76E-07,-0.00159992,-7.76E-07,0.0152001,-7.76E-07,0.00599986,-7.76E-07,0.0119999,0.005680004,,,,,
-3.95E-06,0.012,-3.95E-06,-0.00799992,-7.76E-07,0.000800078,-7.76E-07,-0.00559992,-7.76E-07,0.00880008,-7.76E-07,0.0119999,-7.76E-07,0.0139999,0.006000008,,,,,
-3.95E-06,0,-3.95E-06,-0.00319992,-7.76E-07,-0.00559992,-7.76E-07,-0.00159992,-7.76E-07,0.00720008,-7.76E-07,0.00599986,-7.76E-07,0.0139999,0.004,,,,,
-3.95E-06,0,-3.95E-06,-0.00319992,-7.75E-07,-0.00559992,-7.75E-07,-0.00319992,-7.75E-07,0.0120001,-7.75E-07,-1.42E-07,-7.75E-07,-1.42E-07,0.000639995,,,,,
-3.95E-06,0.008,-3.95E-06,0.00160008,-7.75E-07,-0.00559992,-7.75E-07,-0.00719992,-7.75E-07,0.0136001,-7.75E-07,0.00599986,-7.75E-07,0.0159999,0.004560004,,,,,
-3.95E-06,0.008,-3.95E-06,0.00160008,-7.74E-07,-0.00319992,-7.74E-07,-0.00559992,-7.74E-07,0.0112001,-7.74E-07,0.0159999,-7.74E-07,0.0219999,0.008080012,,,,,
-3.95E-06,0,-3.95E-06,-0.00319992,-7.74E-07,0.00240008,-7.74E-07,-0.00239992,-7.74E-07,0.0112001,-7.74E-07,0.0179999,-7.74E-07,0.00599986,0.007040004,,,,,
-3.95E-06,0.008,-3.95E-06,0.00320008,-7.74E-07,0.0112001,-7.74E-07,-0.00639992,-7.74E-07,0.0120001,-7.74E-07,0.00799986,-7.74E-07,0.0139999,0.007760008,,,,,
-3.95E-06,0.012,-3.95E-06,0.00240008,-7.73E-07,-0.00239992,-7.73E-07,0.000800078,-7.73E-07,0.00960008,-7.73E-07,0.0119999,-7.73E-07,0.0299999,0.010000008,,,,,
-3.95E-06,0,-3.95E-06,0.00560008,-7.73E-07,0.00560008,-7.73E-07,-0.00719992,-7.73E-07,0.0152001,-7.73E-07,0.00999986,-7.73E-07,0.00599986,0.005919996,,,,,
-3.95E-06,-0.008,-3.95E-06,0.00400008,-7.72E-07,-0.00479992,-7.72E-07,-0.00159992,-7.72E-07,0.0104001,-7.72E-07,0.0139999,-7.72E-07,0.0159999,0.006800012,,,,,
-3.95E-06,0.004,-3.95E-06,-0.00639992,-7.72E-07,0.000800078,-7.72E-07,-0.00399992,-7.72E-07,0.00640008,-7.72E-07,0.0139999,-7.72E-07,0.0119999,0.005840008,,,,,
-3.94E-06,0,-3.94E-06,0.00240008,-7.72E-07,0.00720008,-7.72E-07,-0.0127999,-7.72E-07,0.0144001,-7.72E-07,-1.42E-07,-7.72E-07,0.0119999,0.004160008,,,,,
-3.94E-06,0.008,-3.94E-06,-0.00319992,-7.71E-07,-0.00239992,-7.71E-07,-0.000799922,-7.71E-07,0.00800008,-7.71E-07,0.0139999,-7.71E-07,0.0239999,0.008560008,,,,,
-3.94E-06,0.02,-3.94E-06,-0.00239992,-7.71E-07,-0.00639992,-7.71E-07,-0.00239992,-7.71E-07,0.00720008,-7.71E-07,0.00799986,-7.71E-07,0.0159999,0.00448,,,,,
-3.94E-06,0.008,-3.94E-06,0.00320008,-7.70E-07,-0.00639992,-7.70E-07,-0.00559992,-7.70E-07,0.0160001,-7.70E-07,0.00599986,-7.70E-07,0.0139999,0.004800004,,,,,
-3.94E-06,0.004,-3.94E-06,-0.00399992,-7.70E-07,-0.00559992,-7.70E-07,-0.00239992,-7.70E-07,0.00960008,-7.70E-07,0.0119999,-7.70E-07,0.00799986,0.00432,,,,,
