time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,
-1.00E-06,0.012,-1.00E-06,7.80E-08,-8.00E-07,-0.00159992,-8.00E-07,-0.00559992,-8.00E-07,0.00960008,-8.00E-07,0.0239999,-8.00E-07,0.0179999,0.008880008
-9.98E-07,0,-9.98E-07,-0.00559992,-8.00E-07,0.00560008,-8.00E-07,-0.00879992,-8.00E-07,0.0120001,-8.00E-07,0.0259999,-8.00E-07,0.0239999,0.011760012
-9.96E-07,0.016,-9.96E-07,-0.00479992,-7.99E-07,7.80E-08,-7.99E-07,-0.0103999,-7.99E-07,0.0168001,-7.99E-07,0.0219999,-7.99E-07,0.0119999,0.008080016
-9.94E-07,-0.012,-9.94E-07,-0.00239992,-7.99E-07,-0.00239992,-7.99E-07,-0.00239992,-7.99E-07,0.00960008,-7.99E-07,0.0299999,-7.99E-07,0.0159999,0.010160008
-9.92E-07,-0.024,-9.92E-07,0.00560008,-7.98E-07,0.00880008,-7.98E-07,-0.00639992,-7.98E-07,0.0112001,-7.98E-07,0.0179999,-7.98E-07,0.0159999,0.009520012
-9.90E-07,-0.012,-9.90E-07,-0.00239992,-7.98E-07,0.00160008,-7.98E-07,-0.00719992,-7.98E-07,0.0128001,-7.98E-07,0.0239999,-7.98E-07,0.0179999,0.009840012
-9.88E-07,-0.032,-9.88E-07,-0.00319992,-7.98E-07,0.00480008,-7.98E-07,-0.00559992,-7.98E-07,0.0152001,-7.98E-07,0.0199999,-7.98E-07,0.0239999,0.011680012
-9.86E-07,0.016,-9.86E-07,0.00400008,-7.97E-07,7.80E-08,-7.97E-07,-0.00799992,-7.97E-07,0.00960008,-7.97E-07,0.0259999,-7.97E-07,-1.42E-07,0.005519999
-9.84E-07,-0.024,-9.84E-07,7.80E-08,-7.97E-07,0.00880008,-7.97E-07,-0.00239992,-7.97E-07,0.0128001,-7.97E-07,0.0239999,-7.97E-07,0.00799986,0.010240004
-9.82E-07,0.028,-9.82E-07,0.00160008,-7.96E-07,0.00480008,-7.96E-07,-0.00639992,-7.96E-07,0.0128001,-7.96E-07,0.0139999,-7.96E-07,0.0219999,0.009440012
-9.80E-07,0.024,-9.80E-07,-0.00719992,-7.96E-07,-0.00239992,-7.96E-07,-0.00719992,-7.96E-07,0.0136001,-7.96E-07,0.0219999,-7.96E-07,0.0119999,0.007600012
-9.78E-07,0.012,-9.78E-07,-0.00239992,-7.96E-07,-0.00799992,-7.96E-07,-0.00719992,-7.96E-07,0.0120001,-7.96E-07,0.0219999,-7.96E-07,0.00799986,0.005360004
