time1,Diode,time2,PCD3_B
-4e-06,0.0,-4e-06,4.99600008
-4e-06,0.0,-4e-06,4.99600008
-4e-06,0.0,-4e-06,4.999200078
-4e-06,0.012,-4e-06,4.99520008
-4e-06,-0.008,-4e-06,5.000000078
-4e-06,0.02,-4e-06,4.99440008
-4e-06,-0.004,-4e-06,4.99680008
-4e-06,0.008,-4e-06,5.00240008
-3.99e-06,-0.016,-3.99e-06,4.99840008
-3.99e-06,0.02,-3.99e-06,5.000000078
-3.99e-06,-0.008,-3.99e-06,5.000000078
-3.99e-06,0.0,-3.99e-06,4.999200078
-3.99e-06,0.004,-3.99e-06,4.99600008
-3.99e-06,0.008,-3.99e-06,5.00160008
-3.99e-06,0.004,-3.99e-06,4.99760008
-3.99e-06,0.004,-3.99e-06,5.00400008
-3.99e-06,-0.004,-3.99e-06,5.000800078
-3.99e-06,0.016,-3.99e-06,5.00160008
-3.99e-06,-0.004,-3.99e-06,4.99760008
-3.99e-06,0.012,-3.99e-06,5.00240008
-3.99e-06,0.004,-3.99e-06,4.99600008
-3.98e-06,0.016,-3.98e-06,5.000000078
-3.98e-06,0.016,-3.98e-06,4.99440008
-3.98e-06,0.0,-3.98e-06,4.99680008
-3.98e-06,0.0,-3.98e-06,4.999200078
-3.98e-06,0.008,-3.98e-06,4.99840008
-3.98e-06,0.0,-3.98e-06,5.00240008
-3.98e-06,0.004,-3.98e-06,4.99760008
-3.98e-06,0.0,-3.98e-06,5.00640008
-3.98e-06,0.0,-3.98e-06,5.00320008
-3.98e-06,0.008,-3.98e-06,4.99040008
-3.98e-06,0.012,-3.98e-06,4.99840008
-3.98e-06,0.004,-3.98e-06,5.000000078
-3.97e-06,0.0,-3.97e-06,4.99520008
-3.97e-06,0.02,-3.97e-06,4.99680008
-3.97e-06,-0.008,-3.97e-06,5.00240008
-3.97e-06,0.008,-3.97e-06,4.999200078
-3.97e-06,0.008,-3.97e-06,5.00320008
-3.97e-06,0.008,-3.97e-06,4.99760008
-3.97e-06,-0.008,-3.97e-06,4.99840008
-3.97e-06,-0.008,-3.97e-06,4.99680008
-3.97e-06,0.004,-3.97e-06,5.00560008
-3.97e-06,0.016,-3.97e-06,4.99840008
-3.97e-06,0.008,-3.97e-06,4.99600008
-3.97e-06,0.004,-3.97e-06,5.000800078
-3.97e-06,0.0,-3.97e-06,5.000000078
-3.96e-06,0.012,-3.96e-06,5.00480008
-3.96e-06,0.0,-3.96e-06,4.99520008
