Experiment,volt_start,volt_stop,rad_start,rad_stop,bias,load,diode_type,0.5V Rad Avg Time,Row in Time,,Notes,,SampTime Diode,SampTime PCDs
27271,4091,4691,4091,4691,0,1000000,SMAJ,-6.50E-07,4191,,,,0.8 ns,0.4 ns
27272,342,942,342,942,0,81.3,SMAJ,-6.48E-07,442,,,200,160,
27273,276,876,276,876,5.25,81.3,SMAJ,-6.50E-07,376,,Short beginning zeros,,,
27274,269,869,269,869,5.25,1000000,SMAJ,-6.53E-07,369,,Short beginning zeros. Noisy Butt,,,
27275,9837,10437,9837,10437,5.25,81.3,SMAJ,-6.53E-07,9937,,,,,
27276,329,929,329,929,0,81.3,SMAJ,-6.47E-07,429,,,,,
27277,XXXX,XXXX,XXXX,XXXX,,,SMAJ,XXXX,XXXX,,,,,
27278,4576,5176,4576,5176,0,81.3,SMAJ,-6.52E-07,4676,,,,,
27279,23266,23866,23266,23866,0,81.3,SMAJ,-6.54E-07,23366,,Short beginning zeros,,,
27280,23168,23768,23168,23768,0,1000000,SMAJ,-6.94E-07,23268,,Short beginning zeros,,Try Training on random points throughout graph. Then test with the remaining.,
27281,24555,25155,24555,25155,0,1000000,SMAJ,-6.94E-07,24655,,Lots of oscillating,,,
27282,49735,50335,49735,50335,0,1000000,SMAJ,-6.66E-07,49835,,Lots of oscillating,,,
27283,49836,50436,49836,50436,0,1000000,SMAJ,-6.55E-07,49936,,LOTS of oscillating,,,
27284,671,1271,671,1271,5.25,81.3,SMAJ,-6.92E-07,771,,Short beginning zeros. Noisy Butt,,,
27285,49556,50156,49556,50156,5.25,1000000,SMAJ,-6.92E-07,49656,,Lots of oscillating,,,
27286,23150,23750,23150,23750,0,81.3,SMAJ,-7.01E-07,23250,,Noisy Rise,,,
27287,62314,62914,62314,62914,0,1000000,SMAJ,-7.00E-07,62414,,LOTS of oscillating,,,
27288,741,1341,741,1341,5.25,81.3,SMAJ,-6.64E-07,841,,Maybe short beginning. Noisy butt,,,
27289,5277,5877,5277,5877,5.25,1000000,SMAJ,-7.00E-07,5377,,Two spikes,,,
27290,77,677,77,677,0,81.3,MMSZ,-6.50E-07,177,,Negative spike. Tiny noise,,,
27291,61,661,61,661,0,1000000,MMSZ,-6.82E-07,161,,Lots of oscillating,,,
27292,XXXX,XXXX,XXXX,XXXX,,,MMSZ,-6.81E-07,161,,Horribly noisy. Probably unuseable,,,
27293,XXXX,XXXX,XXXX,XXXX,,,MMSZ,-6.82E-07,160,,Pretty Chaotic,,,
27294,55,655,55,655,0,81.3,MMSZ,-6.93E-07,155,,Single negative spike,,,
27295,54,654,54,654,0,1000000,MMSZ,-6.95E-07,154,,Oscillates,,,
27296,654,1254,654,1254,0,50,MMSZ,-6.99E-07,754,,Up then down. Messy,,,
27297,646,1246,646,1246,0,1000000,MMSZ,-7.02E-07,746,,"Down, up, flat, up. Messy",,,
27298,696,1296,696,1296,0,50,CSD,-6.82E-07,796,,Up then down then up slow,,,
27299,691,1291,691,1291,5.25,50,CSD,-6.84E-07,791,,double peak,,,
27300,664,1264,664,1264,0,50,CSD,-6.95E-07,764,,up and down,,,
27301,2800,3400,2800,3400,0,50,CSD,-7.02E-07,DNE,,Short front zeros. Messy,,,
27302,2800,3400,2800,3400,0,50,CSD,-7.02E-07,DNE,,Short front zeros. Messy,,,
27303,694,1294,694,1294,0,50,NJ,-6.83E-07,794,,Basically no front zeros. Lingers negative,,,
27304,283,883,283,883,0,50,NJ,-6.95E-07,383,,Very short front zeros. Lingers negative,,,
27305,609,1209,609,1209,0,50,NJ,-7.17E-07,709,,Very short front zeros. Lingers negative,,,
27306,23100,23700,23100,23700,0,50,SMAJ,Unknown,123291,,Linger negative. Repeated time stamps make dot clumps,,,
27307,23145,23745,23145,23745,0,50,SMAJ,-7.02E-07,23245,,,,,
